"","UF","Capital","area","tipoArea","peso","idad","sexo","raca","nvlMaisElevado","anosEst","posTrab","posOcup","rendOcup","grupPosOcup","ocup","classeOcup1","classeOcup2","ln_rendOcup"
"178",11,11,1,1,152.94071201,47,"F","Parda ",6,13,1,1,2000,9,5211,10,5,7.60090245954208
"179",11,11,1,1,152.94071201,26,"M","Parda ",7,16,1,1,3000,9,2341,9,2,8.00636756765025
"180",11,11,1,1,152.94071201,22,"F","Parda ",5,12,1,1,700,2,3313,7,3,6.5510803350434
"181",11,11,1,1,152.4830541,48,"M","Branca",6,15,1,1,2000,9,5141,10,5,7.60090245954208
"189",11,11,1,1,131.37440092,23,"M","Parda ",5,12,1,1,1212,1,9112,7,9,7.10002716662926
"193",11,11,1,1,156.03905421,48,"M","Branca",7,16,1,1,4000,1,4214,7,4,8.29404964010203
"194",11,11,1,1,156.03905421,48,"M","Parda ",2,6,1,1,2700,8,5221,4,5,7.90100705199242
"195",11,11,1,1,154.03242574,38,"F","Parda ",7,16,1,1,3000,1,2262,4,2,8.00636756765025
"196",11,11,1,1,154.03242574,47,"M","Parda ",5,12,1,1,5000,9,8332,5,8,8.51719319141624
"201",11,11,1,1,310.50089301,47,"M","Parda ",5,12,1,1,5000,9,5221,4,5,8.51719319141624
"202",11,11,1,1,310.50089301,47,"F","Parda ",7,16,1,1,4500,7,512,8,10,8.41183267575841
"203",11,11,1,1,310.50089301,28,"F","Parda ",5,12,1,1,1500,1,4226,4,4,7.3132203870903
"205",11,11,1,1,469.68692032,28,"M","Parda ",5,12,1,1,1200,1,1219,4,1,7.09007683577609
"209",11,11,1,1,270.09553379,59,"M","Parda ",5,12,1,1,3200,7,4110,9,4,8.07090608878782
"212",11,11,1,1,352.04978869,38,"M","Parda ",2,7,1,1,1400,2,7122,3,7,7.24422751560335
"217",11,11,1,1,428.67660451,28,"F","Indígena",2,8,1,1,600,9,5221,6,5,6.39692965521615
"231",11,11,1,1,163.39941525,51,"F","Parda ",1,0,1,1,50,9,7318,2,7,3.91202300542815
"232",11,11,1,1,253.16251098,49,"F","Parda ",5,12,1,1,2400,9,5221,4,5,7.78322401633604
"235",11,11,1,1,342.50968524,31,"F","Preta",7,16,1,1,3500,7,5312,9,5,8.1605182474775
"236",11,11,1,1,342.50968524,33,"M","Parda ",6,13,1,1,3000,1,8332,4,8,8.00636756765025
"238",11,11,1,1,220.61113348,42,"F","Branca",5,12,1,1,6000,9,3339,6,3,8.69951474821019
"239",11,11,1,1,220.61113348,58,"M","Branca",5,12,1,1,3500,9,3339,7,3,8.1605182474775
"242",11,11,1,1,259.40963094,31,"M","Parda ",7,16,1,1,2200,1,5223,4,5,7.69621263934641
"243",11,11,1,1,259.40963094,50,"F","Parda ",7,16,1,1,1215,7,3221,8,3,7.10249935577465
"245",11,11,1,1,260.43519988,34,"F","Parda ",5,12,1,1,1215,1,9112,7,9,7.10249935577465
"248",11,11,1,1,336.49642855,23,"M","Parda ",3,9,1,1,1200,1,9321,2,9,7.09007683577609
"250",11,11,1,1,234.92570222,51,"M","Parda ",1,0,1,1,1500,9,5212,6,5,7.3132203870903
"251",11,11,1,1,268.43235054,49,"F","Branca",7,16,1,1,2800,7,2341,9,2,7.9373746961633
"255",11,11,1,1,296.21803045,31,"M","Preta",2,1,1,1,5500,2,8342,3,8,8.61250337122056
"258",11,11,1,1,194.39931847,37,"M","Branca",7,16,1,1,2000,9,7111,3,7,7.60090245954208
"266",11,11,1,1,231.65669045,34,"M","Parda ",2,8,1,1,1100,1,8332,4,8,7.00306545878646
"268",11,11,1,1,132.77504134,55,"M","Parda ",7,16,1,1,4400,1,2330,9,2,8.38935981990635
"270",11,11,1,1,206.53438913,40,"F","Preta",5,12,1,1,750,4,9111,11,9,6.62007320653036
"271",11,11,1,1,206.53438913,18,"M","Parda ",5,12,1,1,1255,2,9629,4,9,7.13489085156588
"273",11,11,1,1,129.13066471,52,"F","Parda ",3,9,1,1,1212,3,9111,11,9,7.10002716662926
"274",11,11,1,1,181.91523866,67,"F","Branca",3,9,1,1,1212,9,7531,2,7,7.10002716662926
"275",11,11,1,1,181.91523866,52,"F","Parda ",3,9,1,1,1212,9,7531,2,7,7.10002716662926
"276",11,11,1,1,181.91523866,24,"F","Parda ",5,12,1,1,1212,9,5120,6,5,7.10002716662926
"279",11,11,1,1,181.91523866,54,"M","Branca",5,12,1,1,1212,9,5120,2,5,7.10002716662926
"281",11,11,1,1,176.65754344,24,"F","Preta",5,12,1,1,500,9,5311,9,5,6.21460809842219
"282",11,11,1,1,217.61005237,28,"F","Branca",7,16,1,1,2500,9,7231,4,7,7.82404601085629
"286",11,11,1,1,79.35175915,41,"M","Preta",5,12,1,1,1500,9,7231,4,7,7.3132203870903
"287",11,11,1,1,79.35175915,36,"F","Parda ",7,16,1,1,1400,1,2330,9,2,7.24422751560335
"294",11,11,1,1,122.93042503,28,"M","Parda ",5,12,1,1,1500,1,7531,2,7,7.3132203870903
"298",11,11,1,1,84.40658198,43,"F","Parda ",7,16,1,1,5000,7,4110,8,4,8.51719319141624
"299",11,11,1,1,84.40658198,43,"M","Parda ",7,15,1,1,5000,7,2641,8,2,8.51719319141624
"300",11,11,1,1,84.40658198,22,"F","Parda ",7,16,1,1,5000,7,2643,8,2,8.51719319141624
"303",11,11,1,1,93.36391361,56,"M","Preta",2,3,1,1,1800,1,8219,2,8,7.49554194388426
"307",11,11,1,1,86.79989744,37,"M","Parda ",5,12,1,1,2800,1,8322,7,8,7.9373746961633
"309",11,11,1,1,59.25753256,63,"F","Parda ",2,6,1,1,1800,7,9112,8,9,7.49554194388426
