"","Escola","ID_ESCOLA","id_municipio","rede","n_alunos","IEE","anos_escolares","ideb","MEDIA_MT_SAEB_2019","MEDIA_LP_SAEB_2019","MEDIA_CN_SAEB_2019","MEDIA_CH_SAEB_2019","NSE10","p_SE","p_brancos","me_educMae","Latitude","Longitude"
"122","JOAO BORGES PROFESSOR",35002173,3550308,"estadual",160,0.83,"finais (6-9)",6.1,291.13,287.57,NA,NA,6.8,0.1,0.55,11.98,-23.5473192,-46.5663684
"123","IRENE DE LIMA PAIVA PROFESSORA",35002197,3550308,"estadual",188,0.75,"finais (6-9)",5.8,280.42,278.32,NA,NA,6.43,0.12,0.48,11.54,-23.5606211,-46.54136
"124","BENEDITA RIBAS F SILVEIRA PROFESSORA",35002227,3550308,"estadual",167,0.75,"finais (6-9)",5.1,268.05,267.31,NA,NA,5.57,0.11,0.32,10.8,-23.532451,-46.5678989
"125","ALMERINDA RODRIGUES MELLO PROFESSORA",35002239,3550308,"estadual",71,0.75,"finais (6-9)",4.6,256.88,258.87,NA,NA,5.09,0.01,0.34,9,-23.5768645,-46.5341616
"126","ANTONIO CANDIDO BARONE",35002240,3550308,"estadual",192,0.75,"finais (6-9)",5.5,267.99,269.57,NA,NA,5.79,0.09,0.46,10.26,-23.5708807,-46.5485496
"127","ORVILLE DERBY",35002297,3550308,"estadual",94,0.83,"finais (6-9)",5.4,274.71,273.05,NA,NA,5.88,0.06,0.37,10.73,-23.5679091,-46.5438172
"128","SANTOS AMARO DA CRUZ PROFESSOR",35002318,3550308,"estadual",193,0.83,"finais (6-9)",5.6,280.22,275.41,NA,NA,5.7,0.06,0.37,9.63,-23.584752,-46.527196
"129","PILAR GARCIA VIDAL DONA",35002331,3550308,"estadual",218,0.75,"finais (6-9)",4.9,253.15,250.15,NA,NA,5.63,0.07,0.39,10.33,-23.5847444,-46.4986343
"130","MARIA LOURDES N ALBERGARIA PROFA",35002343,3550308,"estadual",92,0.83,"finais (6-9)",5.2,250.84,264.98,NA,NA,5.78,0.11,0.25,11.28,-23.5396144,-46.5331631
"131","JAMIL PEDRO SAWAYA PROF",35002434,3550308,"estadual",86,0.83,"finais (6-9)",5.3,260.31,261.55,NA,NA,5.58,0.09,0.35,10.61,-23.5413971,-46.5015361
"132","JOAO MARIA OGNO OSB DOM",35002461,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.72,NA,NA,NA,-23.5249955,-46.5289497
"133","ZALINA ROLIM DONA",35002471,3550308,"estadual",109,0.75,"finais (6-9)",4.8,250.64,257.19,NA,NA,5.63,0.02,0.31,10.43,-23.5351548,-46.5441914
"134","ESTHER FRANKEL SAMPAIO",35002483,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.02,NA,NA,NA,-23.5149654,-46.5420441
"135","NOSSA SENHORA DA PENHA",35002513,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,6.03,NA,NA,NA,-23.5209892,-46.5478675
"136","ANTAO PADRE",35002525,3550308,"estadual",135,0.83,"finais (6-9)",4.9,260.48,260.35,NA,NA,5.7,0.08,0.31,9.64,-23.5285984,-46.5479278
"137","ADELAIDE FERRAZ DE OLIVEIRA PROFA",35002549,3550308,"estadual",91,0.67,"finais (6-9)",5.5,266.88,277.46,253.1,260.37,5.81,0.07,0.45,10.55,-23.5326108,-46.5144325
"138","MARIA APARECIDA DE CASTRO MASIERO PROFESSORA",35002550,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.81,NA,NA,NA,-23.5298874,-46.4991124
"139","MARIA DE CARVALHO SENNE PROFESSORA",35002562,3550308,"estadual",139,0.83,"finais (6-9)",4.7,257.71,263.81,NA,NA,5.86,0.05,0.33,10.54,-23.524864,-46.5097616
"140","CUSTODIO JOSE DE MELLO ALMIRANTE",35002574,3550308,"estadual",184,0.83,"finais (6-9)",5.8,283.62,276.52,NA,NA,6.38,0.13,0.4,12.32,-23.5240701,-46.5181144
"141","BARAO DE RAMALHO",35002586,3550308,"estadual",190,0.75,"finais (6-9)",4.9,254.99,256.56,NA,NA,5.7,0.06,0.34,11.66,-23.5223929,-46.5385854
"142","ASTOLFO ARAUJO DEPUTADO",35002598,3550308,"estadual",69,0.75,"finais (6-9)",5.1,257.42,265.87,NA,NA,5.48,0.09,0.28,9.82,-23.5505724,-46.4976348
"143","MARIA AUGUSTA DE AVILA PROFA",35002616,3550308,"estadual",114,0.92,"finais (6-9)",4.7,255.09,255.17,NA,NA,5.5,0.06,0.3,11.32,-23.540119,-46.4907252
"144","INFANTE DOM HENRIQUE",35002636,3550308,"estadual",190,0.83,"finais (6-9)",4.9,257.7,254.78,NA,NA,6.07,0.06,0.34,10.7,-23.5420244,-46.5314877
"145","AFONSO PENNA JUNIOR PROF",35002653,3550308,"estadual",91,0.92,"finais (6-9)",5.3,275.51,268.82,NA,NA,5.76,0.03,0.36,9.17,-23.5520674,-46.5145448
"146","JOSE TALARICO",35002677,3550308,"estadual",71,0.67,"finais (6-9)",4.8,255.26,247.56,NA,NA,5.78,0.1,0.38,11.06,-23.5437324,-46.5212502
"147","EXERCITO BRASILEIRO",35002689,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.53,NA,NA,NA,-23.5262105,-46.4828798
"148","JOAO RAMACCIOTTI PROF",35002690,3550308,"estadual",77,0.67,"finais (6-9)",5.1,260.23,266.98,NA,NA,5.73,0.08,0.36,10.34,-23.5372932,-46.4813016
"149","VITAL FOGACA DE ALMEIDA DOUTOR",35002707,3550308,"estadual",240,0.75,"finais (6-9)",5.2,263.71,267.63,NA,NA,5.77,0.06,0.3,9.25,-23.5115,-46.546104
"150","CAETANO MIELE PROFESSOR",35002719,3550308,"estadual",71,0.83,"finais (6-9)",4.4,256.28,253.63,NA,NA,5.78,0.11,0.31,9.33,-23.5094022,-46.5344475
"151","IRENE BRANCO DA SILVA PROFESSORA",35002732,3550308,"estadual",79,0.92,"finais (6-9)",4.9,261.09,256.35,NA,NA,5.5,0.05,0.29,10.88,-23.5122926,-46.5257745
"152","VALACE MARQUES PROFESSOR",35002768,3550308,"estadual",NA,0.58,"finais (6-9)",NA,NA,NA,NA,NA,5.37,NA,NA,NA,-23.5077289,-46.5103047
"153","BENEDITA DE REZENDE PROFESSORA",35002773,3550308,"estadual",258,0.75,"finais (6-9)",5,259.86,264.22,NA,NA,5.37,0.08,0.33,10.44,-23.4856929,-46.4818624
"154","REPUBLICA DO URUGUAI",35002793,3550308,"estadual",146,0.75,"finais (6-9)",4.6,252.25,248.17,NA,NA,5.02,0.11,0.24,9.07,-23.4997639,-46.5202187
"155","THEREZA DOROTHEA DE ARRUDA REGO PROFESSORA",35002800,3550308,"estadual",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.67,NA,NA,NA,-23.5219329,-46.4880625
"156","SILVA PRADO DEPUTADO",35002811,3550308,"estadual",169,0.83,"finais (6-9)",5.1,255.9,256.46,NA,NA,6.14,0.07,0.44,10.64,-23.5161569,-46.5036147
"157","ERMELINO MATARAZZO",35002835,3550308,"estadual",61,0.92,"finais (6-9)",4.5,247.03,241.96,NA,NA,5.1,0.07,0.26,9.48,-23.4929101,-46.4705713
"158","MIGUEL DE CERVANTES Y SAAVEDRA DOM",35002847,3550308,"estadual",230,0.75,"finais (6-9)",5.6,269.52,276.89,NA,NA,5.9,0.07,0.37,10.3,-23.5053207,-46.4947038
