"","Escola","ID_ESCOLA","id_municipio","rede","n_alunos","IEE","anos_escolares","ideb","MEDIA_MT_SAEB_2019","MEDIA_LP_SAEB_2019","MEDIA_CN_SAEB_2019","MEDIA_CH_SAEB_2019","NSE10","p_SE","p_brancos","me_educMae","Latitude","Longitude"
"605","EMEF RODRIGUES ALVES",35054550,3550308,"municipal",64,1,"finais (6-9)",5.1,261.86,260.43,NA,NA,5.74,0.12,0.22,11.23,-23.4896525,-46.6000534
"606","EMEF MARTIN FRANCISCO RIBEIRO DE ANDRADA",35054562,3550308,"municipal",172,0.83,"finais (6-9)",5.5,265.67,267.37,NA,NA,5.65,0.12,0.38,10.25,-23.4685,-46.6027
"607","EMEF JOAO NAOKI SUMITA DR",35054574,3550308,"municipal",94,0.75,"finais (6-9)",5.2,269.41,270.63,NA,NA,5.83,0.11,0.39,10.5,-23.5712,-46.5279
"608","EMEF KENNEDY PRES",35054586,3550308,"municipal",113,0.83,"finais (6-9)",4.9,258.29,262.53,NA,NA,5.89,0.12,0.47,10.48,-23.56224547,-46.55293008
"609","EMEF BARTOLOMEU LOURENCO DE GUSMAO",35054598,3550308,"municipal",105,0.83,"finais (6-9)",6.1,294.6,279.95,NA,NA,6.25,0.2,0.52,11.24,-23.55557233,-46.53595409
"610","EMEF OLIVA IRENE BAYERLEIN SILVA",35054604,3550308,"municipal",38,0.75,"finais (6-9)",6,283.19,285.83,NA,NA,4.89,0.26,0.21,10.89,-23.5118,-46.609
"611","EMEF HELENA LOMBARDI BRAGA PROFA",35054616,3550308,"municipal",93,0.75,"finais (6-9)",6.2,302.81,296.08,NA,NA,5.91,0.17,0.33,10.32,-23.5027,-46.598
"612","EMEF RUY BARBOSA",35054628,3550308,"municipal",90,0.75,"finais (6-9)",5.4,275.93,267.78,NA,NA,6.03,0.09,0.32,10.2,-23.5002,-46.6005
"613","EMEF EUCLIDES CUSTODIO DA SILVEIRA DES",35054636,3550308,"municipal",68,0.92,"finais (6-9)",5.5,263.35,275.54,NA,NA,6.08,0.09,0.41,10.61,-23.50637149,-46.73103979
"614","EMEF JAIRO RAMOS",35054641,3550308,"municipal",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.33,NA,NA,NA,-23.49030021,-46.74684631
"615","EMEF PAULO PRADO",35054653,3550308,"municipal",92,0.83,"finais (6-9)",5.4,261.1,269.87,NA,NA,5.44,0.17,0.37,10.15,-23.4299,-46.7928
"616","EMEF AMADEU MENDES PROF",35054665,3550308,"municipal",67,0.83,"finais (6-9)",5.6,265.43,275.82,NA,NA,6.42,0.24,0.45,11.31,-23.50001361,-46.73791444
"617","EMEF JOSE FERRAZ DE CAMPOS PROF",35054677,3550308,"municipal",68,0.92,"finais (6-9)",4.2,235.48,230.69,NA,NA,5.8,0.07,0.37,11.14,-23.5139,-46.747
"618","EMEF RUI BLOEM",35054690,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,4.93,NA,NA,NA,-23.49720325,-46.75007511
"619","EMEF OLAVO PEZZOTTI PROF",35054707,3550308,"municipal",58,0.92,"finais (6-9)",4.3,243.14,239.96,NA,NA,5.88,0.1,0.26,10.2,-23.5502,-46.6938
"620","EMEF TAMANDARE ALM",35054719,3550308,"municipal",136,0.75,"finais (6-9)",4.9,252.5,250.04,NA,NA,5.6,0.12,0.32,10.07,-23.5016686,-46.5908329
"621","EMEF ARY GOMES CEL",35054720,3550308,"municipal",86,0.83,"finais (6-9)",3.8,236.75,233.31,NA,NA,4.58,0.09,0.19,7.13,-23.5265145,-46.5820837
"622","EMEF ROMAO GOMES CEL",35054732,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,4.75,NA,NA,NA,-23.5212,-46.566
"623","EMEF PEDRO I D",35054744,3550308,"municipal",58,0.75,"finais (6-9)",5,256.21,249.27,NA,NA,4.96,0.09,0.28,9.31,-23.5005,-46.5831
"624","EMEF JOAO DOMINGUES SAMPAIO",35054756,3550308,"municipal",125,0.92,"finais (6-9)",5,261.83,259.38,NA,NA,5.54,0.11,0.37,10.12,-23.5063,-46.5845
"625","EMEF SHIRLEY GUIO PROFA",35054768,3550308,"municipal",70,0.92,"finais (6-9)",5.3,261.58,259.24,NA,NA,5.44,0.1,0.27,10.74,-23.4952,-46.5965
"626","EMEF JEAN MERMOZ",35054773,3550308,"municipal",34,0.75,"finais (6-9)",4.9,263.34,249.45,NA,NA,5.84,0.18,0.38,8.78,-23.6082,-46.6368
"627","EMEF MANOEL DE PAIVA PE",35054781,3550308,"municipal",69,0.83,"finais (6-9)",5.1,274.28,266.43,254.19,NA,5.58,0.14,0.32,10.05,-23.5881,-46.6212
"628","EMEF ARTHUR ALVIM",35054793,3550308,"municipal",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.44,NA,NA,NA,-23.5386,-46.4935
"629","EMEF CAIRU VISC DE",35054800,3550308,"municipal",80,1,"finais (6-9)",5.1,253.56,259.15,262.34,250.73,6.09,0.09,0.22,11.33,-23.5352,-46.5008
"630","EMEF FIRMINO TIBURCIO DA COSTA",35054811,3550308,"municipal",65,0.83,"finais (6-9)",5.1,263.77,253.69,NA,NA,5.98,0.08,0.49,10.8,-23.53998,-46.509
"631","EMEF 19 DE NOVEMBRO",35054823,3550308,"municipal",98,0.83,"finais (6-9)",4.5,239.14,239.01,NA,NA,5.4,0.13,0.34,10.71,-23.5452,-46.5191
"632","EMEF HUMBERTO DE CAMPOS",35054835,3550308,"municipal",105,0.83,"finais (6-9)",5.2,253.62,259.49,NA,NA,5.57,0.05,0.29,9.14,-23.5436,-46.5082
"633","EMEF JOSE BONIFACIO",35054847,3550308,"municipal",60,0.83,"finais (6-9)",5.7,282.13,275.96,NA,NA,5.78,0.17,0.28,10.27,-23.5365,-46.5044
"634","EMEF JOAO PINHEIRO PRES",35054859,3550308,"municipal",110,0.92,"finais (6-9)",4.9,256.16,250.61,NA,NA,5.92,0.13,0.45,11.28,-23.5353461,-46.532768
"635","EMEF ABRAO DE MORAES PROF",35054860,3550308,"municipal",73,0.83,"finais (6-9)",4.7,246.47,237.23,NA,NA,5.42,0.1,0.22,8.48,-23.5474,-46.4999
"636","EMEF ANTONIO PRUDENTE PROF",35054872,3550308,"municipal",60,0.92,"finais (6-9)",4.5,237.19,241.53,NA,NA,5.48,0.05,0.33,10.72,-23.4764,-46.6765
"637","EMEF RAUL DE LEONI",35054884,3550308,"municipal",81,0.92,"finais (6-9)",5.3,263.62,271.12,NA,NA,5.55,0.16,0.38,11.16,-23.4574924,-46.6434934
"638","EMEF OSVALDO QUIRINO SIMOES",35054896,3550308,"municipal",86,1,"finais (6-9)",4.7,245.9,249.65,NA,NA,4.73,0.06,0.29,8.93,-23.465597,-46.66225933
"639","EMEF FREDERICO GUSTAVO DOS SANTOS TTE AVIADOR",35054902,3550308,"municipal",105,0.92,"finais (6-9)",4.9,250.87,257.02,NA,NA,5.34,0.12,0.24,9.24,-23.47043221,-46.66676339
"640","EMEF ALTINO ARANTES",35054914,3550308,"municipal",122,0.83,"finais (6-9)",4.4,246.62,251.86,NA,NA,5.1,0.07,0.27,9.18,-23.6094,-46.5294
"641","EMEF BRASILIO MACHADO NETO",35054926,3550308,"municipal",59,1,"finais (6-9)",3.8,228.48,219.75,NA,NA,4.68,0.07,0.29,8.5,-23.6131,-46.5081
"642","EMEF CLEOMENES CAMPOS",35054938,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,6.05,NA,NA,NA,-23.58742432,-46.5521848
"643","EMEF MASCARENHAS DE MORAES MAL",35054963,3550308,"municipal",68,0.92,"finais (6-9)",5.2,277.84,267.75,NA,NA,6.21,0.09,0.43,11.2,-23.596,-46.5395
"644","EMEF OSORIO GEN",35054975,3550308,"municipal",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.31,NA,NA,NA,-23.6073,-46.5567
"645","EMEF QUEIROZ FILHO PROF",35054987,3550308,"municipal",76,0.92,"finais (6-9)",5.3,270.75,269.74,NA,NA,5.45,0.16,0.34,10.7,-23.5973577,-46.56557439
"646","EMEF FLORES DA CUNHA DEP",35054999,3550308,"municipal",87,0.83,"finais (6-9)",4.8,254.04,245.4,NA,NA,4.86,0.1,0.25,8.71,-23.5959428,-46.5148543
"647","EMEF IRINEU MARINHO",35055001,3550308,"municipal",62,0.92,"finais (6-9)",4.6,232.62,248.86,NA,NA,4.45,0.08,0.18,8.85,-23.59273186,-46.58083209
"648","EMEF CLAUDIO MANOEL DA COSTA",35055013,3550308,"municipal",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.56,NA,NA,NA,-23.6267605,-46.4623603
"649","EMEF EMILIO RIBAS",35055025,3550308,"municipal",62,0.75,"finais (6-9)",5.3,262.84,258.61,NA,NA,5.65,0.05,0.4,10.18,-23.60159259,-46.5171036
"650","EMEF ALVARES DE AZEVEDO",35055037,3550308,"municipal",85,0.75,"finais (6-9)",5,253.8,260.51,NA,NA,5.31,0.08,0.26,9.18,-23.6045,-46.5387
"651","EMEF ARMANDO DE SALLES OLIVEIRA",35055049,3550308,"municipal",85,0.83,"finais (6-9)",4.8,238.51,248.22,NA,NA,5.24,0.12,0.27,7.39,-23.6096204,-46.5129541
"652","EMEF SILVIO FLEMING MJ",35055050,3550308,"municipal",65,0.75,"finais (6-9)",5.1,275.27,260.08,NA,NA,5.65,0.09,0.4,9.37,-23.5733,-46.5774
"653","EMEF MAUA BR DE",35055062,3550308,"municipal",66,0.92,"finais (6-9)",5.5,273.56,267.95,NA,NA,5.86,0.12,0.5,12.59,-23.5759,-46.5701
"654","EMEF HERALDO BARBUY",35055074,3550308,"municipal",75,1,"finais (6-9)",5,253.26,257.22,NA,NA,5.02,0.09,0.28,8,-23.6165705,-46.5034085
"655","EMEF AUREA RIBEIRO XAVIER LOPES PROFA",35055086,3550308,"municipal",74,0.75,"finais (6-9)",5.2,281.06,275.02,NA,NA,5.64,0.18,0.43,11.07,-23.59829752,-46.54524504
"656","EMEF MARLENE RONDELLI PROFA",35055098,3550308,"municipal",67,0.83,"finais (6-9)",4.8,261.72,248.52,NA,NA,5.45,0.1,0.28,10.62,-23.5817,-46.5377
"657","EMEF RUTH LOPES ANDRADE PROFA",35055104,3550308,"municipal",35,0.83,"finais (6-9)",5.8,281.29,266.22,NA,NA,5.65,0.09,0.34,9.06,-23.59,-46.5809
"658","EMEF AMADEU AMARAL",35055116,3550308,"municipal",99,0.75,"finais (6-9)",4.6,248.54,245.11,NA,NA,5.44,0.12,0.28,11.12,-23.5195,-46.4939
"659","EMEF GUILHERME DE ALMEIDA",35055128,3550308,"municipal",103,1,"finais (6-9)",5.4,264.49,267.4,NA,NA,6.15,0.2,0.42,11.16,-23.5112,-46.5306
"660","EMEF ANTONIO VIEIRA PE",35055136,3550308,"municipal",93,0.92,"finais (6-9)",5.2,263.08,264.78,NA,NA,5.29,0.1,0.26,9.79,-23.5268449,-46.4863133
"661","EMEF JENNY GOMES DA",35055141,3550308,"municipal",80,0.83,"finais (6-9)",4.7,249.11,242.9,NA,NA,5.64,0.09,0.29,10.1,-23.5329,-46.4769
"662","EMEF OCTAVIO MANGABEIRA",35055153,3550308,"municipal",91,1,"finais (6-9)",4.6,245.77,246.9,NA,NA,5.21,0.08,0.25,8.07,-23.5034,-46.4847
"663","EMEF HENRIQUE PEGADO PROF",35055165,3550308,"municipal",69,0.92,"finais (6-9)",5.3,263.37,264.29,NA,NA,5.4,0.13,0.39,11.2,-23.5048,-46.4989
"664","EMEF WANNY SALGADO ROCHA PROFA",35055177,3550308,"municipal",57,0.83,"finais (6-9)",4.7,254.5,236,NA,NA,4.93,0.12,0.23,8.75,-23.5178,-46.4774
"665","EMEF BENEDITO CALIXTO",35055189,3550308,"municipal",123,0.92,"finais (6-9)",5.1,255.09,259.77,NA,NA,5.31,0.05,0.21,10.64,-23.54710998,-46.42965575
"666","EMEF JOAO DE LIMA PAIVA PROF",35055190,3550308,"municipal",92,0.92,"finais (6-9)",4.7,239.99,248.96,NA,NA,5.38,0.13,0.29,10.83,-23.5416271,-46.4125121
"667","EMEF ARTUR NEIVA",35055207,3550308,"municipal",89,0.83,"finais (6-9)",4.2,237.73,234.14,NA,NA,5.32,0.11,0.27,9.21,-23.5394,-46.4285
"668","EMEF JOAO RIBEIRO DE BARROS",35055219,3550308,"municipal",129,0.83,"finais (6-9)",4.6,243.3,250,NA,NA,5.22,0.12,0.3,9.74,-23.522878,-46.4193611
"669","EMEF JOANA ANGELICA DE JESUS MADRE",35055220,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.21,NA,NA,NA,-23.5494582,-46.4006554
"670","EMEF ALEXANDRE DE GUSMAO",35055232,3550308,"municipal",138,0.83,"finais (6-9)",4.7,244.04,250.15,NA,NA,5.43,0.07,0.22,9.79,-23.5279,-46.4116
"671","EMEF JOSE DE ANCHIETA PE",35055244,3550308,"municipal",66,0.92,"finais (6-9)",4.1,239.42,249.49,NA,NA,5.39,0.09,0.26,10.39,-23.5186198,-46.4399492
"672","EMEF FERNANDO DE AZEVEDO PROF",35055256,3550308,"municipal",83,0.83,"finais (6-9)",4.9,263.55,267.59,NA,NA,5.62,0.17,0.46,10.63,-23.5204881,-46.4218007
"673","EMEF SATURNINO PEREIRA",35055268,3550308,"municipal",93,0.92,"finais (6-9)",4.2,230.39,234.98,NA,NA,4.79,0.1,0.11,8.46,-23.56512844,-46.41593066
"674","EMEF JOAO AUGUSTO BREVES DR",35055273,3550308,"municipal",104,1,"finais (6-9)",5.2,254.48,260.66,NA,NA,5.06,0.06,0.28,9.9,-23.5224,-46.436
"675","EMEF VINTE E CINCO DE JANEIRO",35055281,3550308,"municipal",31,0.75,"finais (6-9)",5.3,256.11,266.41,NA,NA,5.57,0.23,0.32,10.5,-23.5445386,-46.4096527
"676","EMEF AYRES MARTINS TORRES",35055293,3550308,"municipal",99,0.92,"finais (6-9)",5,255.57,253.38,NA,NA,5.72,0.15,0.29,9.29,-23.529942,-46.4589656
"677","EMEF CORREIA DE MELLO BRIG",35055300,3550308,"municipal",78,0.92,"finais (6-9)",4,223.61,216.18,NA,NA,5.31,0.1,0.32,9.7,-23.55157736,-46.50324063
"678","EMEF HAROLDO VELOSO BRIG",35055311,3550308,"municipal",99,0.92,"finais (6-9)",4.7,246.67,248.11,NA,NA,5.45,0.13,0.27,10.48,-23.5323,-46.4443
"679","EMEF JOSE LINS DO REGO",35055323,3550308,"municipal",80,0.75,"finais (6-9)",4.9,248.56,250.53,NA,NA,5.14,0.07,0.35,9.33,-23.58767897,-46.49228879
"680","EMEF DANYLO JOSE FERNANDES",35055335,3550308,"municipal",94,1,"finais (6-9)",4.1,252.84,250.65,243.34,243.07,4.96,0.07,0.3,9.82,-23.554685,-46.46531775
"681","EMEF PRUDENTE DE MORAIS PRES",35055347,3550308,"municipal",NA,1,"finais (6-9)",NA,NA,NA,NA,NA,5.79,NA,NA,NA,-23.5959371,-46.53649803
"682","EMEF CARLOS CHAGAS",35055359,3550308,"municipal",137,0.83,"finais (6-9)",5,255.47,268.18,NA,NA,5.64,0.13,0.32,9.57,-23.556,-46.4916
"683","EMEF EDUARDO PRADO",35055360,3550308,"municipal",105,0.83,"finais (6-9)",5.3,254.9,263.49,NA,NA,6.03,0.12,0.35,10.38,-23.5638422,-46.49267441
"684","EMEF JOSE MARIA WHITAKER",35055372,3550308,"municipal",NA,1,"finais (6-9)",NA,NA,NA,NA,NA,5.58,NA,NA,NA,-23.6114832,-46.46438159
"685","EMEF 8 DE MAIO",35055384,3550308,"municipal",91,0.92,"finais (6-9)",4.5,249.8,249.25,NA,NA,5.06,0.07,0.21,7.72,-23.5343691,-46.4727963
"686","EMEF OLIVAL COSTA",35055396,3550308,"municipal",63,0.83,"finais (6-9)",4.7,239.92,245.63,NA,NA,5.3,0.17,0.35,9.87,-23.6106175,-46.4934157
"687","EMEF COELHO NETO",35055402,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.06,NA,NA,NA,-23.5988,-46.4539
"688","EMEF ANTONIO DUARTE DE ALMEIDA PROF",35055414,3550308,"municipal",136,0.83,"finais (6-9)",4.8,243.64,251,NA,NA,5.09,0.17,0.28,8.12,-23.520491,-46.4613799
"689","EMEF CIDADE DE OSAKA",35055426,3550308,"municipal",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,4.68,NA,NA,NA,-23.6237456,-46.4712607
"690","EMEF AURELIO ARROBAS MARTINS PROF",35055438,3550308,"municipal",93,0.92,"finais (6-9)",5.2,265.84,265.87,NA,NA,5.94,0.12,0.37,9.92,-23.5751243,-46.4782408
"691","EMEF FELICIO PAGLIUSO PROF",35055448,3550308,"municipal",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.05,NA,NA,NA,-23.5961234,-46.4414826
"692","EMEF HENRIQUE MELEGA PROF",35055451,3550308,"municipal",59,0.75,"finais (6-9)",4.7,239.08,243.1,NA,NA,5.02,0.07,0.31,8.78,-23.5900403,-46.5263431
"693","EMEF RIVADAVIA MARQUES JUNIOR PROF",35055463,3550308,"municipal",93,0.83,"finais (6-9)",5.1,248.54,258.9,NA,NA,5.11,0.08,0.24,9.63,-23.5887187,-46.4861376
"694","EMEF RODRIGO MELLO FRANCO DE ANDRADE",35055475,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,4.91,NA,NA,NA,-23.6052292,-46.4715031
"695","EMEF RODRIGUES DE CARVALHO",35055487,3550308,"municipal",72,0.83,"finais (6-9)",4.7,249.47,244.99,NA,NA,5.15,0.04,0.28,8.54,-23.6166828,-46.4966255
"696","EMEF HENRIQUE RAYMUNDO DYOTT FONTENELLE BRIG",35055499,3550308,"municipal",69,0.83,"finais (6-9)",4.8,255.79,255.56,NA,NA,5.41,0.19,0.43,10.1,-23.45607894,-46.7433946
"697","EMEF HENRIQUE GEISEL GEN",35055505,3550308,"municipal",62,0.92,"finais (6-9)",4.7,251.27,262.45,NA,NA,5.36,0.15,0.35,9.68,-23.48993047,-46.75654231
"698","EMEF LUIZ DAVID SOBRINHO PROF",35055517,3550308,"municipal",95,0.92,"finais (6-9)",4.5,238.43,241.56,NA,NA,5.08,0.06,0.17,10.91,-23.4521908,-46.729893
"699","EMEF RENATO ANTONIO CHECCHIA PROF",35055529,3550308,"municipal",85,1,"finais (6-9)",2.9,226.81,227.33,NA,NA,4.48,0.06,0.27,8.72,-23.45519359,-46.71691032
"700","EMEF CANDIDO PORTINARI",35055530,3550308,"municipal",66,1,"finais (6-9)",4.8,243.33,252.78,NA,NA,5.13,0.12,0.3,10.35,-23.39942212,-46.75171242
"701","EMEF LEONEL FRANCA PE",35055542,3550308,"municipal",62,1,"finais (6-9)",3.9,236.04,233.22,NA,NA,4.82,0.08,0.21,7.93,-23.43863497,-46.72807365
"702","EMEF VICENTE DE PAULO DALE COUTINHO GEN",35055554,3550308,"municipal",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.23,NA,NA,NA,-23.4349,-46.7188
"703","EMEF JULIO DE OLIVEIRA",35055566,3550308,"municipal",121,0.92,"finais (6-9)",5.3,267.66,265.05,NA,NA,5.3,0.22,0.36,10.64,-23.4028,-46.7386
"704","EMEF PEDRO DE FRONTIN ALM",35055578,3550308,"municipal",124,0.67,"finais (6-9)",5,254.23,253.02,NA,NA,5.49,0.15,0.36,10.14,-23.4999,-46.4296
"705","EMEF ANTONIA E ARTUR BEGBIE",35055585,3550308,"municipal",130,0.75,"finais (6-9)",4.6,249.35,253.54,NA,NA,4.97,0.07,0.27,9.25,-23.5095954,-46.4064137
"706","EMEF ARMANDO CRIDEY RIGHETTI",35055591,3550308,"municipal",76,0.92,"finais (6-9)",4.8,260.89,260.22,NA,NA,4.72,0.18,0.3,8.52,-23.4933,-46.4018
"707","EMEF LUIS SAIA ARQ",35055608,3550308,"municipal",131,0.83,"finais (6-9)",5.7,268.14,272.79,NA,NA,5.85,0.16,0.35,11.71,-23.4943577,-46.4405083
"708","EMEF CAPISTRANO DE ABREU",35055612,3550308,"municipal",92,0.83,"finais (6-9)",4.6,252.54,254.29,NA,NA,4.99,0.12,0.26,9.23,-23.4901428,-46.3948431
"709","EMEF PEDRO ALEIXO DR",35055621,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.74,NA,NA,NA,-23.5014,-46.4647
"710","EMEF EZEQUIEL RAMOS JUNIOR",35055633,3550308,"municipal",144,0.92,"finais (6-9)",5.4,258.83,264.41,NA,NA,5.12,0.14,0.28,10.84,-23.5082,-46.3923
"711","EMEF NEWTON REIS GEN",35055645,3550308,"municipal",169,0.92,"finais (6-9)",5.4,266.31,269,NA,NA,5.22,0.14,0.24,10.47,-23.49714394,-46.40977646
"712","EMEF SUD MENNUCCI",35055657,3550308,"municipal",136,0.83,"finais (6-9)",4.4,245.75,246.67,NA,NA,4.87,0.12,0.18,9.58,-23.5037,-46.3814
"713","EMEF JUAREZ TAVORA MAL",35055669,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,6.07,NA,NA,NA,-23.5084852,-46.4943072
"714","EMEF MARIA IMILDA DO SANTISSIMO SACRAMENTO ME",35055670,3550308,"municipal",121,1,"finais (6-9)",5.2,261.05,263.14,NA,NA,5.44,0.1,0.31,10.2,-23.4963,-46.419
"715","EMEF RAIMUNDO CORREIA",35055682,3550308,"municipal",90,0.83,"finais (6-9)",5.1,256.59,252.95,NA,NA,5.1,0.16,0.3,10.55,-23.4825361,-46.4206109
"716","EMEF PAULO ROLIM LOUREIRO D",35055694,3550308,"municipal",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.62,NA,NA,NA,-23.5098005,-46.4345135
"717","EMEF PEDRO TEIXEIRA",35055700,3550308,"municipal",139,0.83,"finais (6-9)",4.7,241.58,248.03,NA,NA,5.31,0.09,0.29,10.14,-23.5128778,-46.4561294
"718","EMEF EPITACIO PESSOA PRES",35055712,3550308,"municipal",96,0.83,"finais (6-9)",5.4,278.05,273.18,NA,NA,5.73,0.18,0.41,10.41,-23.4969,-46.4616
"719","EMEF CARLOS PASQUALE PROF",35055724,3550308,"municipal",166,0.92,"finais (6-9)",5.8,287.02,284.71,NA,NA,5.89,0.16,0.34,11.39,-23.4992141,-46.3952737
"720","EMEF JOSE BENTO DE ASSIS PROF",35055736,3550308,"municipal",122,0.83,"finais (6-9)",4.7,238.38,242.65,218.93,233.26,5.26,0.07,0.25,8.79,-23.4878,-46.4215
"721","EMEF RAUL PILLA",35055748,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.24,NA,NA,NA,-23.5114416,-46.466266
"722","EMEF ANTONIO CARLOS DE ANDRADA E SILVA",35055759,3550308,"municipal",95,1,"finais (6-9)",4.6,253.31,253.46,NA,NA,5.38,0.03,0.31,11.04,-23.5088388,-46.446817
"723","CEU EMEF PAULO GONCALO DOS SANTOS PROF",35056571,3550308,"municipal",57,1,"finais (6-9)",5.5,260.74,269.2,NA,NA,5.2,0.07,0.23,7.65,-23.70510322,-46.64470798
"724","CEU EMEF PAULO GOMES CARDIM PROF DR",35056716,3550308,"municipal",NA,1,"finais (6-9)",NA,NA,NA,NA,NA,5.69,NA,NA,NA,-23.5704,-46.5031
"725","CEU EMEF BUTANTA",35056996,3550308,"municipal",28,0.83,"finais (6-9)",3.4,213.67,220.6,NA,NA,5.33,0.04,0.18,9.33,-23.5824,-46.7508
"726","CEU EMEF CIDADE DUTRA",35057125,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,6.31,NA,NA,NA,-23.7108879,-46.7047346
"727","CEU EMEF INACIO MONTEIRO",35057332,3550308,"municipal",97,0.83,"finais (6-9)",4.4,236.12,245.03,NA,NA,5.1,0.13,0.3,8.48,-23.5695949,-46.4111629
"728","CEU EMEF JAMBEIRO",35057551,3550308,"municipal",95,0.92,"finais (6-9)",4.7,241.49,244.02,NA,NA,5.36,0.05,0.27,9.19,-23.5386751,-46.4230901
"729","CEU EMEF MENINOS",35057666,3550308,"municipal",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.21,NA,NA,NA,-23.62075203,-46.58380193
"730","CEU EMEF PARQUE SAO CARLOS",35057836,3550308,"municipal",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.54,NA,NA,NA,NA,NA
"731","CEU EMEF PERA MARMELO",35058002,3550308,"municipal",97,0.92,"finais (6-9)",5.2,263.71,265.92,NA,NA,5.53,0.1,0.36,10.33,-23.43623235,-46.7503196
"732","CEU EMEF PERUS",35058075,3550308,"municipal",92,0.92,"finais (6-9)",5.3,264.69,264.43,NA,NA,5.08,0.12,0.26,10.97,-23.40653086,-46.75217529
"733","CEU EMEF VILA ATLANTICA",35058185,3550308,"municipal",100,0.92,"finais (6-9)",4.4,239.11,236.04,NA,NA,5.03,0.04,0.2,8.52,-23.4809,-46.7625
"734","CEU EMEF VILA CURUCA",35058212,3550308,"municipal",102,0.92,"finais (6-9)",5.2,263.79,265.17,NA,NA,5.71,0.13,0.27,11.14,-23.4955678,-46.4119877
"735","CEU EMEF TRES LAGOS",35058452,3550308,"municipal",92,0.92,"finais (6-9)",4.8,247.87,250.49,NA,NA,4.92,0.08,0.17,8.31,-23.76777815,-46.68059069
"736","CEU EMEF CASA BLANCA",35060331,3550308,"municipal",67,1,"finais (6-9)",5,255.16,252.58,NA,NA,5.8,0.13,0.34,10.21,-23.6467,-46.7444
"737","CEU EMEF HERMES FERREIRA DE SOUZA",35060562,3550308,"municipal",93,0.92,"finais (6-9)",4.8,239.49,249.35,NA,NA,5.36,0.15,0.28,8.41,-23.6368,-46.7794
"738","EMEF ANTONIO DAVILA PROF",35062789,3550308,"municipal",126,0.75,"finais (6-9)",5,251.11,252.86,NA,NA,5.21,0.12,0.29,10.35,-23.5938214,-46.4078856
"739","EMEF FLAVIO AUGUSTO ROSA PROF",35062790,3550308,"municipal",55,0.92,"finais (6-9)",3.8,221.18,221.16,NA,NA,4.58,0.04,0.15,11.47,-23.4829,-46.3945
"740","EMEF ERNESTO DE MORAES LEME PROF",35062807,3550308,"municipal",67,0.92,"finais (6-9)",5.1,246.51,262.07,NA,NA,5.2,0.15,0.28,10.67,-23.444,-46.7464
"741","EMEF RAUL POMPEIA",35066266,3550308,"municipal",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,4.5,NA,NA,NA,-23.43398151,-46.71372259
"742","EMEF TERESA MARGARIDA DA SILVA E ORTA",35066308,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.11,NA,NA,NA,-23.7222,-46.757
"743","EMEF HENRIQUE SOUZA FILHO - HENFIL",35066734,3550308,"municipal",72,0.83,"finais (6-9)",5.3,261.36,266.22,NA,NA,5.36,0.11,0.44,9.51,-23.598474,-46.4232133
"744","EMEF ALDO RIBEIRO LUZ PROF",35068627,3550308,"municipal",86,0.83,"finais (6-9)",4.7,248.13,256.33,NA,NA,5.11,0.14,0.3,8.45,-23.45186333,-46.75259833
"745","EMEF IRENE GARCIA COSTA DE SOUZA PROFA DRA",35068639,3550308,"municipal",47,0.83,"finais (6-9)",4.6,249.44,244.14,NA,NA,5.78,0.13,0.26,8.67,-23.451,-46.7584
"746","EMEF FRANCISCO ALVES MENDES FILHO - CHICO MENDES",35068664,3550308,"municipal",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.77,NA,NA,NA,-23.5619216,-46.4959354
"747","EMEF CHICO FALCONI PE",35068676,3550308,"municipal",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,4.67,NA,NA,NA,-23.5138951,-46.4031221
